Grambank ID,Relevant units,Function,Form,Feature,Possible Values
GB020,"article, NP, demonstrative","definiteness, deixis","declension, particle, paradigm",Are there definite or specific articles?,"1: present, 0: absent"
GB021,"article, NP, demonstrative","definiteness, deixis","declension, particle, paradigm",Do indefinite nominals commonly have indefinite articles?,"1: present, 0: absent"
GB022,"article, NP, demonstrative","definiteness, deixis","word order, declension, particle, paradigm, prefixation",Are there prenominal articles?,"1: present, 0: absent"
GB023,"article, NP, demonstrative","definiteness, deixis","word order, declension, particle, paradigm, suffixation",Are there postnominal articles?,"1: present, 0: absent"
GB024,"numeral, NP","quantification, attribution",word order,What is the order of numeral and noun in the NP?,multistate 1: Num-N; 2: N-Num; 3: both.
GB025,"demonstrative, NP","deixis, attribution",word order,What is the order of adnominal demonstrative and noun?,multistate 1: Dem-N; 2: N-Dem; 3: both.
GB026,"adjective, clause, NP",attribution,"word order, special construction",Can adnominal property words occur discontinuously?,"1: present, 0: absent"
GB027,"adposition, case marker, NP","argument marking, oblique, conjunction, coordination, case marking, comitative","declension, flagging",Are nominal conjunction and comitative expressed by different elements?,"1: present, 0: absent"
GB028,"pronoun, index, verb","clusivity, deixis, person, number","declension, paradigm, indexing",Is there an inclusive/exclusive distinction?,"1: present, 0: absent"
GB030,pronoun,"person, number, gender","declension, paradigm",Is there a gender distinction in independent 3rd person pronouns?,"1: present, 0: absent"
GB031,pronoun,"person, number","declension, paradigm",Is there a dual or unit augmented form (in addition to plural or augmented) for all person categories in the pronoun system?,"1: present, 0: absent"
GB035,demonstrative,deixis,"declension, paradigm",Are there three or more distance contrasts in demonstratives?,"1: present, 0: absent"
GB036,demonstrative,deixis,"declension, paradigm",Do demonstratives show an elevation distinction?,"1: present, 0: absent"
GB037,demonstrative,deixis,"declension, paradigm",Do demonstratives show a visible-nonvisible distinction?,"1: present, 0: absent"
GB038,"demonstrative, classifier, NP","deixis, nominal classification, attribution","declension, paradigm, special construction, particle",Are there demonstrative classifiers?,"1: present, 0: absent"
GB039,"noun, NP",number,declension,Is there nonphonological allomorphy of noun number markers?,"1: present, 0: absent"
GB041,noun,number,"suppletion, declension",Are there several nouns (more than three) which are suppletive for number?,"1: present, 0: absent"
GB042,noun,"number, gender",declension,Is there productive overt morphological singular marking on nouns?,"1: present, 0: absent"
GB043,noun,number,declension,Is there productive morphological dual marking on nouns?,"1: present, 0: absent"
GB044,noun,"number, gender",declension,Is there productive morphological plural marking on nouns?,"1: present, 0: absent"
GB046,noun,number,declension,Is there an associative plural marker for nouns?,"1: present, 0: absent"
GB047,"noun, verb","derivation, nominalization, gender",derivational morphology,Is there a productive morphological pattern for deriving an action/state noun from a verb?,"1: present, 0: absent"
GB048,"noun, verb","derivation, nominalization, gender",derivational morphology,Is there a productive morphological pattern for deriving an agent noun from a verb?,"1: present, 0: absent"
GB049,"noun, verb","derivation, nominalization, gender",derivational morphology,Is there a productive morphological pattern for deriving an object noun from a verb?,"1: present, 0: absent"
GB051,noun,gender,declension,Is there a noun class/gender system where sex is a factor in class assignment?,"1: present, 0: absent"
GB052,noun,gender,declension,Is there a noun class/gender system where shape is a factor in class assignment?,"1: present, 0: absent"
GB053,noun,gender,declension,Is there a noun class/gender system where animacy is a factor in class assignment?,"1: present, 0: absent"
GB054,noun,gender,declension,Is there a noun class/gender system where plant status is a factor in class assignment?,"1: present, 0: absent"
GB057,"numeral, classifier, NP","nominal classification, quantification, attribution","declension, paradigm, special construction, particle",Are there numeral classifiers?,"1: present, 0: absent"
GB058,"noun, classifier, NP","attributive possession, attribution, nominal classification","declension, paradigm, special construction, particle",Are there possessive classifiers?,"1: present, 0: absent"
GB059,"noun, NP","attributive possession, attribution, alienability","declension, special construction, particle",Is the adnominal possessive construction different for alienable and inalienable nouns?,"1: present, 0: absent"
GB065,"noun, NP, index","attributive possession, attribution",word order,What is the pragmatically unmarked order of adnominal possessor noun and possessed noun?,multistate 1:Possessor-Possessed; 2:Possessed-Possessor; 3: both
GB068,"adjective, verb, index","predication, TAM, tense, aspect, mood, modality, nominal classification, gender","declension, conjugation, indexing","Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?","1: present, 0: absent"
GB069,"adjective, verb, index","attribution, TAM, tense, aspect, mood, modality, nominal classification, gender","declension, conjugation, indexing","Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?","1: present, 0: absent"
GB070,"noun, NP, case marker","argument marking, core arguments","declension, flagging",Are there morphological cases for non-pronominal core arguments (i.e. S/A/P)?,"1: present, 0: absent"
GB071,"pronoun, case marker","argument marking, core arguments","declension, flagging",Are there morphological cases for pronominal core arguments (i.e. S/A/P)?,"1: present, 0: absent"
GB072,"noun, NP, case marker","argument marking, oblique","declension, flagging",Are there morphological cases for oblique non-pronominal NPs (i.e. not S/A/P)?,"1: present, 0: absent"
GB073,"pronoun, case marker","argument marking, oblique","declension, flagging",Are there morphological cases for oblique independent personal pronouns (i.e. not S/A/P)?,"1: present, 0: absent"
GB074,"noun, NP, case marker, adposition","argument marking, core arguments, oblique","word order, flagging",Are there prepositions?,"1: present, 0: absent"
GB075,"noun, NP, case marker, adposition","argument marking, core arguments, oblique","word order, flagging",Are there postpositions?,"1: present, 0: absent"
GB079,"verb, index","argument marking, core arguments, oblique, TAM, negation, tense, aspect, mood, modality, valency change","conjugation, prefixation","Do verbs have prefixes/proclitics, other than those that ONLY mark A, S or P (do include portmanteau: A & S + TAM)?","1: present, 0: absent"
GB080,"verb, index","argument marking, core arguments, oblique, TAM, negation, tense, aspect, mood, modality, valency change","conjugation, suffixation","Do verbs have suffixes/enclitics, other than those that ONLY mark A, S or P (do include portmanteau: A & S + TAM)?","1: present, 0: absent"
GB081,"verb, index","argument marking, core arguments, oblique, TAM, negation, tense, aspect, mood, modality, valency change","conjugation, infixation",Is there productive infixation in verbs?,"1: present, 0: absent"
GB082,verb,"TAM, tense",conjugation,Is there overt morphological marking of present tense on verbs?,"1: present, 0: absent"
