Feature_ID,ENumLab,ELab,Eri's Categories,Relevant units,Function,Form,Feature,Possible Values
GB020,1,ART1,1ART1,"article, NP, demonstrative","definiteness, deixis","declension, particle, paradigm",Are there definite or specific articles?,"1: present, 0: absent"
GB021,1,ART2,1ART2,"article, NP, demonstrative","definiteness, deixis","declension, particle, paradigm",Do indefinite nominals commonly have indefinite articles?,"1: present, 0: absent"
GB022,1,ART3,1ART3,"article, NP, demonstrative","definiteness, deixis","word order, declension, particle, paradigm, prefixation",Are there prenominal articles?,"1: present, 0: absent"
GB023,1,ART4,1ART4,"article, NP, demonstrative","definiteness, deixis","word order, declension, particle, paradigm, suffixation",Are there postnominal articles?,"1: present, 0: absent"
GB186,1,ART5,1ART5,"article, NP, demonstrative","number, deixis, definiteness","agreement, declension",Can an article agree with the noun in number?,"1: present, 0: absent"
GB035,2,DEM1,2DEM1,demonstrative,deixis,"declension, paradigm",Are there three or more distance contrasts in demonstratives?,"1: present, 0: absent"
GB036,2,DEM2,2DEM2,demonstrative,deixis,"declension, paradigm",Do demonstratives show an elevation distinction?,"1: present, 0: absent"
GB037,2,DEM3,2DEM3,demonstrative,deixis,"declension, paradigm",Do demonstratives show a visible-nonvisible distinction?,"1: present, 0: absent"
GB038,2,DEM4,2DEM4,"demonstrative, classifier, NP","deixis, nominal classification, attribution","declension, paradigm, special construction, particle",Are there demonstrative classifiers?,"1: present, 0: absent"
GB185,2,DEM5,2DEM5,"demonstrative, NP","number, attribution, deixis","agreement, declension",Can an adnominal demonstrative agree with the noun in number?,"1: present, 0: absent"
GB025,2,DEM6,2DEM6,"demonstrative, NP","deixis, attribution",word order,What is the order of adnominal demonstrative and noun?,multistate 1: Dem-N; 2: N-Dem; 3: both.
GB026,3,ADJ1,3ADJ1,"adjective, clause, NP",attribution,"word order, special construction",Can adnominal property words occur discontinuously?,"1: present, 0: absent"
GB068,3,ADJ2,3ADJ2,"adjective, verb, index","predication, TAM, tense, aspect, mood, modality, nominal classification, gender","declension, conjugation, indexing","Do core adjectives (defined semantically as property concepts such as value, shape, age, dimension) act like verbs in predicative position?","1: present, 0: absent"
GB069,3,ADJ3,3ADJ3,"adjective, verb, index","attribution, TAM, tense, aspect, mood, modality, nominal classification, gender","declension, conjugation, indexing","Do core adjectives (defined semantically as property concepts; value, shape, age, dimension) used attributively require the same morphological treatment as verbs?","1: present, 0: absent"
GB160,3,ADJ4,3ADJ4,"adjective, ideophone, adverb",derivation,reduplication,Are elements apart from verbs or nouns reduplicated?,"1: present, 0: absent"
GB275,3,ADJ5,3ADJ5,"adjective, clause","comparison, predication","declension, conjugation, special construction",Is there a bound comparative degree marker on the property word in a comparative construction?,"1: present, 0: absent"
GB276,3,ADJ6,3ADJ6,"adjective, clause, particle","comparison, predication","particle, special construction",Is there a non-bound comparative degree marker modifying the property word in a comparative construction?,"1: present, 0: absent"
GB170,3,ADJ7,3ADJ7,"adjective, NP","gender, attribution","agreement, declension",Can an adnominal property word agree with the noun in gender/noun class?,"1: present, 0: absent"
GB184,3,ADJ8,3ADJ8,"adjective, NP","number, attribution","agreement, declension",Can an adnominal property word agree with the noun in number?,"1: present, 0: absent"
GB193,3,ADJ9,3ADJ9,"adjective, NP",attribution,word order,What is the order of adnominal property word and noun?,multistate 1: ANM - N; 2: N - ANM; 3: both; 0: they cannot be used attributively
